title,creator,collection,objectid,filename,youtubeid,imagelink,publisher/publication,place,date,description,subject,,physical location,identifier,formatoriginal,type,format,language,rights,rightsstatement
India Volunteer,OIan Fulfer,Josephy Library Video Collection,India-Volunteer,,HLG7QCgyNaQ,,,Josephy Library,2024-04-23,"we welcome Olan Fulfer to talk about his spring break trip to India, where he joined in volunteer work helping children. Last year it was East Africa! Olan grew up hard in nearby Imbler--a totally dysfunctional family plagued by alcohol--but with help from other relatives, teachers, and coaches, he made it! He gives back as a teacher, coach, and recently began engaging in international work with children living hard lives.",tuesday talk,,YouTube Page,India-Volunteer,Lecture Videos,video,video/mp4,eng,,
Art Therapy,Judy Wandschneider,Josephy Library Video Collection,Art-Therapy,,CAz-ceG-qoo,,,Josephy Library,2024-06-04,"Join Judy for a talk about art, healing, and change.",tuesday talk,,YouTube Page,Art-Therapy,Lecture Videos,video,video/mp4,eng,,
Solar Storm of the Century,"DJ Lincoln, Roger Averbeck",Josephy Library Video Collection,Solar-Storm-of-the-Century,,RYGf-taQUmk,,,Josephy Library,2024-06-11,Roger Averbeck and DJ Lincoln present on the 10 May 2024 auroras seen in the Wallowa Valley as a photographer and science educator,tuesday talk,,YouTube Page,Solar-Storm-of-the-Century,Lecture Videos,video,video/mp4,eng,,
Water in the Lower Valley,Dale Johnson,Josephy Library Video Collection,Water-in-the-Lower-Valley,,Iq6WeN1z_E4,,,Josephy Library,2024-06-25,"Dale is a retired educator and rancher, and lives on the family ranch in Lower Valley first homesteaded in 1972. He has paid particular attention to the development of the land and the water over the course of a lifetime, noting the impacts of introduced plants and various irrigation methods. What's next? Dale has some ideas..",tuesday talk,,YouTube Page,Water-in-the-Lower-Valley,Lecture Videos,video,video/mp4,eng,,
Ceramicists Victoria Christen & Julia Allen Their Work & Influences,"Victoria Christen, Julia Allen ",Josephy Library Video Collection,Ceramicists-Victoria-Christen-Julia-Allen-Their-Work-Influences,,35rOi7cTzpk,,,Josephy Library,2024-07-02,"Join us to hear both Victoria and Julia discuss and show images of their past and current work, focusing on family and environmental influences shaping their art practices.",tuesday talk,,YouTube Page,Ceramicists-Victoria-Christen-Julia-Allen-Their-Work-Influences,Lecture Videos,video,video/mp4,eng,,
Horseback Adventures,Barry Cox,Josephy Library Video Collection,Horseback-Adventures,,_W0yLbdFn70,,,Josephy Library,2024-07-09,"Join us at The Josephy Center to hear Barry Cox, horseman, saddle maker, and wilderness packer share his history, the saddle making craft, as well as come of his wilderness adventures!",tuesday talk,,YouTube Page,Horseback-Adventures,Lecture Videos,video,video/mp4,eng,,
Doctrine of Discovery,Rich Wandschneider,Josephy Library Video Collection,Doctrine-of-Discovery,,Rnr5BLFXanA,,,Josephy Library,2024-10-08,Rich W. leads a group discussion and learning group on the Doctrine of Discovery.,tuesday talk,,YouTube Page,Doctrine-of-Discovery,Lecture Videos,video,video/mp4,eng,,
Meadowlark Studio,Tim Biedron,Josephy Library Video Collection,Meadowlark-Studio,,k2zGLK68xOw,,,Meadowlark Studio,2023-01-25,Local tattoo artist Tim Biedron discusses his artwork and process.,tuesday talk,,YouTube Page,Meadowlark-Studio,Lecture Videos,video,video/mp4,eng,,
Jennifer Hawkins Artist Talk,Jennifer Hawkins,Josephy Library Video Collection,Jennifer-Hawkins-Artist-Talk,,YDCQlLw1gRI,,,Josephy Library,2023-06-22,"Local artist Jennifer Hawkins talks about her journey as an artist, and her work.",tuesday talk,,YouTube Page,Jennifer-Hawkins-Artist-Talk,Lecture Videos,video,video/mp4,eng,,
Rondo Exhibit Walkthrough,Lisa Mackie,Josephy Library Video Collection,Rondo-Exhibit-Walkthrough,,b4gqJGOuQEM,,,Josephy Library,2023-07-26,"We are honored to have master printmaker Lisa Mackie here as our first printmaking Artist-in-Residence. On Wed., July 26, at noon, Lisa will speak about her career, techniques, inspiration and more. She will do a slideshow presentation and the event will be presented live on YouTube or you may attend in-person.",special event,,YouTube Page,Rondo-Exhibit-Walkthrough,Lecture Videos,video,video/mp4,eng,,
Gary Wishart Show Walktrhough,Gary Wishart,Josephy Library Video Collection,Gary-Wishart-Show-Walktrhough,,ZF_jkmVYCrU,,,Josephy Library,2023-06-20,A walk through the Gary Wishart show at the Josephy Center.,special event,,YouTube Page,Gary-Wishart-Show-Walktrhough,Lecture Videos,video,video/mp4,eng,,
Julia Keefe Quartet Live - Josephy Fest,Julia Keefe,Josephy Library Video Collection,Julia-Keefe-Quartet-Live-Josephy-Fest,,CjTOxjqrOpk,,,Josephy Library,2023-02-18,"Julia Keefe (Nez Perce) headlined Josephy Fest in her first show in Wallowa County in 2024. She is an internationally acclaimed Native American jazz vocalist, actor, activist, and educator currently based in New York City. Her professional career has spanned over 18 years and she has headlined marquee events at the Smithsonian Museum in Washington D.C., NMAI-NY, as well as opened for the likes of 20-time GRAMMY Award winner Tony Bennett and 4-time GRAMMY Award winner Esperanza Spalding. Her life’s work is the revival and honoring of the legendary Coeur d’Alene jazz musician Mildred Bailey and is leading the campaign for Bailey’s induction into the Jazz Hall of Fame at Lincoln Center.",special event,,YouTube Page,Julia-Keefe-Quartet-Live-Josephy-Fest,Music videos,video,video/mp4,eng,,
Temperance Creek Reading,Pam Royes,Josephy Library Video Collection,Temperance-Creek-Reading,,uyQG_KDaozg,,,Josephy Library,2024-03-25,"Pam Royce tells stories from her book Temperance Creek. In connection with the Josephy Center Livestock Art show, her stories focus on the stockmen (and stockwomen) in Hells Canyon.",tuesday talk,,YouTube Page,Temperance-Creek-Reading,Lecture Videos,video,video/mp4,eng,,
