title,creator,collection,objectid,filename,youtubeid,imagelink,publisher/publication,place,date,description,subject,,physical location,identifier,formatoriginal,type,format,language,rights,rightsstatement
Indian Wars,Rich Wandschneider,Rich Wandschneider Blog,Indian-Wars,https://library.josephy.org/2021/09/indian-wars/,,library-header.jpg,Rich Wandschneider,,2021-09-04,"Blog entry from September 4, 2021",David Treuer;Indian Wars,,Library Website,Indian-Wars,blog posts,record,url,eng,,
A Map and A Book,Rich Wandschneider,Rich Wandschneider Blog,A-Map-and-A-Book,https://library.josephy.org/2021/09/a-map-and-a-book/,,library-header.jpg,Rich Wandschneider,,2021-09-10,"Blog entry from September 10, 2021",wal’wá·ma map;Sahaptian place names;,,Library Website,A-Map-and-A-Book,blog posts,record,url,eng,,
Afghanistan and the Indians,Rich Wandschneider,Rich Wandschneider Blog,Afghanistan-and-the-Indians,https://library.josephy.org/2021/09/afghanistan-and-the-indians/,,library-header.jpg,Rich Wandschneider,,2021-09-24,"Blog entry from September 24, 2021",Nation building;Missionaries;Assimilation;Haudenosaunee Confederacy;Native knowledge,,Library Website,Afghanistan-and-the-Indians,blog posts,record,url,eng,,
October 5; OnThis Day,Rich Wandschneider,Rich Wandschneider Blog,October-5-OnThis-Day,https://library.josephy.org/2021/10/october-5-on-this-day/,,library-header.jpg,Rich Wandschneider,,2021-10-05,"Blog entry from October 5, 2021",Nez Perce War;Broken Promise;Coming Home,,Library Website,October-5-OnThis-Day,blog posts,record,url,eng,,
Side Channel At Nez Perce Homeland,Rich Wandschneider,Rich Wandschneider Blog,Side-Channel-At-Nez-Perce-Homeland,https://library.josephy.org/2021/10/side-channelat-nez-perce-homeland/,,library-header.jpg,Rich Wandschneider,,2021-10-13,"Blog entry from October 13, 2021",Fish Spawn;Indigenous Knowledge;Wallowa River;Side channel;Marshlands,,Library Website,Side-Channel-At-Nez-Perce-Homeland,blog posts,record,url,eng,,
The Catholic Fur Trading North,Rich Wandschneider,Rich Wandschneider Blog,The-Catholic-Fur-Trading-North,https://library.josephy.org/2021/10/the-catholic-fur-trading-north/,,library-header.jpg,Rich Wandschneider,,2021-10-29,"Blog entry from October 29, 2021",Alvin Josephy;Protestant Missionaries;Catholics;Fur Trade;Assimilation;,,Library Website,The-Catholic-Fur-Trading-North,blog posts,record,url,eng,,
A Bigger American History,Rich Wandschneider,Rich Wandschneider Blog,A-Bigger-American-History,https://library.josephy.org/2021/11/a-bigger-american-history/,,library-header.jpg,Rich Wandschneider,,2021-11-02,"Blog entry from November 2, 2021",Protestant Providentialism;Anti-Catholicism;Bison Books;Full Native History,,Library Website,A-Bigger-American-History,blog posts,record,url,eng,,
Rumble:  the Indians Who Rocked the World,Rich Wandschneider,Rich Wandschneider Blog,Rumble-the-Indians-Who-Rocked-the-World,https://library.josephy.org/2021/11/rumble-the-indians-who-rocked-the-world/,,library-header.jpg,Rich Wandschneider,,2021-11-12,Blog entry from November 12. 2021,Documentary film;Native musicians;Mildred Bailey;Buffy Saint-Marie;Joy Harjo;Traditionalists;Emerging Indians,,Library Website,Rumble-the-Indians-Who-Rocked-the-World,blog posts,record,url,eng,,
"The Way to Rainy Mountain, N. Scott Momady",Rich Wandschneider,Rich Wandschneider Blog,The-Way-to-Rainy-Mountain-N-Scott-Momady,https://library.josephy.org/2021/11/the-way-to-rainy-mountain-n-scott-momaday/,,library-header.jpg,Rich Wandschneider,,2021-11-16,"Blog entry from November 16, 2021",Native Writers;Appaloosa Horse Gift;Legend;Story;Imagination,,Library Website,The-Way-to-Rainy-Mountain-N-Scott-Momady,blog posts,record,url,eng,,
Fictions,Rich Wandschneider,Rich Wandschneider Blog,Fictions,https://library.josephy.org/2021/12/fictions/,,library-header.jpg,Rich Wandschneider,,2021-12-10,"Blog entry from December 10, 2021",Amateur Historians;European Ethnocentrism;M. Scott Momaday;Alvin Josephy;Oral History;,,Library Website,Fictions,blog posts,record,url,eng,,
"Alvin M. Josephy, a Reminder",Rich Wandschneider,Rich Wandschneider Blog,Alvin-M-Josephy-a-Reminder,https://library.josephy.org/2021/12/alvin-m-josephy-jr-a-reminder/,,library-header.jpg,Rich Wandschneider,,2021-12-16,"Blog entry from December 16, 2021",Alvin Josephy;Indian Country Today;Obituary;Native Voices;Biography,,Library Website,Alvin-M-Josephy-a-Reminder,blog posts,record,url,eng,,
Buffalo Bill - Another Outrage,Rich Wandschneider,Rich Wandschneider Blog,Buffalo-Bill-Another-Outrage,https://library.josephy.org/2021/12/buffalo-bill-another-outrage/,,library-header.jpg,Rich Wandschneider,,2021-12-28,"Blog entry from December 28, 2021",Will Rogers;Buffalo Bill Cody;Sitting Bull;Lucullus McWhorter;Wounded Knee;Assimilation,,Library Website,Buffalo-Bill-Another-Outrage,blog posts,record,url,eng,,
Native Wisdom,Rich Wandschneider,Rich Wandschneider Blog,Native-Wisdom,https://library.josephy.org/2022/01/native-wisdom/,,library-header.jpg,Rich Wandschneider,,2022-01-03,"Blog entry from January 3, 2022",Old Wisdom;Seasons;Winter Life;,,Library Website,Native-Wisdom,blog posts,record,url,eng,,
Native Foods,Rich Wandschneider,Rich Wandschneider Blog,Native-Foods,https://library.josephy.org/2022/01/native-foods/,,library-header.jpg,Rich Wandschneider,,2022-01-06,"Blog entry from January 6, 2022",Native Cuisine;Fry Bread;Native Restaurants,,Library Website,Native-Foods,blog posts,record,url,eng,,
Indigenous Adoptions,Rich Wandschneider,Rich Wandschneider Blog,Indigenous-Adoptions,https://library.josephy.org/2022/01/indigenous-adoptions/,,library-header.jpg,Rich Wandschneider,,2022-01-14,"Blog entry from January 14, 2022",Boarding Schools;Foster Care;Adoptions;Indian Child Welfare Act (ICWA);,,Library Website,Indigenous-Adoptions,blog posts,record,url,eng,,
MLK Day Plus One,Rich Wandschneider,Rich Wandschneider Blog,MLK-Day-Plus-One,https://library.josephy.org/2022/01/mlk-day-plus-one/,,library-header.jpg,Rich Wandschneider,,2022-01-18,"Blog entry from January 18, 2022",Martin Luther King;1968;Robert Kennedy;Peace Corps;,,Library Website,MLK-Day-Plus-One,blog posts,record,url,eng,,
The Education of Little Tree and Wannabe Indians,Rich Wandschneider,Rich Wandschneider Blog,The-Education-of-Little-Tree-and-Wannabe-Indians,https://library.josephy.org/2022/01/the-education-of-little-tree-and-wannabe-indians/,,library-header.jpg,Rich Wandschneider,,2022-01-28,"Blog entry from January 28, 2022",Forrest Carter;Asa Carter;Ku Kux Klan;Fraud,,Library Website,The-Education-of-Little-Tree-and-Wannabe-Indians,blog posts,record,url,eng,,
Nez Perce Wallowa Homeland - February 2022,Rich Wandschneider,Rich Wandschneider Blog,Nez-Perce-Wallowa-Homeland-February-2022,https://library.josephy.org/2022/02/nez-perce-wallowa-homeland-february-2022/,,library-header.jpg,Rich Wandschneider,,2022-02-04,"Blog entry from February 4, 2022",Homeland Project;Successes;Progress,,Library Website,Nez-Perce-Wallowa-Homeland-February-2022,blog posts,record,url,eng,,
Alvin Josephy and the New Science on Native American Origins,Rich Wandschneider,Rich Wandschneider Blog,Alvin-Josephy-and-the-New-Science-on-Native-American-Origins,https://library.josephy.org/2022/02/alvin-josephy-and-the-new-science-on-native-american-origins/,,library-header.jpg,Rich Wandschneider,,2022-02-11,"Blog entry from February 11, 2022",Land Bridge;Kelp Highway;Genetics;Linguistics;Archaeology;Long-counters;Short-counters;Smallpox,,Library Website,Alvin-Josephy-and-the-New-Science-on-Native-American-Origins,blog posts,record,url,eng,,
It's The Land!,Rich Wandschneider,Rich Wandschneider Blog,It-s-The-Land-,https://library.josephy.org/2022/02/its-the-land/,,library-header.jpg,Rich Wandschneider,,2022-02-23,"Blog entry from February 23, 2022",Land;Culture;Language;Land Back;Re-naming;Louise Erdrich;M.Scott Momaday;Black Americans;Music;Athletics;,,Library Website,It-s-The-Land-,blog posts,record,url,eng,,
Rez Ball 2,Rich Wandschneider,Rich Wandschneider Blog,Rez-Ball-2,https://library.josephy.org/2022/03/rez-ball-2/,,library-header.jpg,Rich Wandschneider,,2022-03-08,"Blog entry from March 8, 2022",Basketball;Suicide Prevention;Lapwai Teams;College Scholarships;,,Library Website,Rez-Ball-2,blog posts,record,url,eng,,
Thirty Years Make a Difference - Rez Ball 3,Rich Wandschneider,Rich Wandschneider Blog,Thirty-Years-Make-a-Difference-Rez-Ball-3,https://library.josephy.org/2022/03/thirty-years-make-a-difference-rez-ball-3/,,library-header.jpg,Rich Wandschneider,,2022-03-10,"Blog entry from March 10, 2022",Basketball;Sharon LaForge;Native Voices;Native Knowledge;Arlee Warriors;Cultural Comfort;College Scholarships,,Library Website,Thirty-Years-Make-a-Difference-Rez-Ball-3,blog posts,record,url,eng,,
Rez Ball at Eastern Oregon University,Rich Wandschneider,Rich Wandschneider Blog,Rez-Ball-at-Eastern-Oregon-University,https://library.josephy.org/2022/03/rez-ball-update-at-eastern-oregon-u/,,library-header.jpg,Rich Wandschneider,,2022-03-15,"Blog entry from March 15, 2022",Phillip Malatare;Eastern Oregon University;Rez Ball;,,Library Website,Rez-Ball-at-Eastern-Oregon-University,blog posts,record,url,eng,,
Apologies and Resilience Through Writing,Rich Wandschneider,Rich Wandschneider Blog,Apologies-and-Resilience-Through-Writing,https://library.josephy.org/2022/03/apologies-and-resilience-through-writing/,,library-header.jpg,Rich Wandschneider,,2022-03-22,"Blog entry from March 22, 2022",Indigenous Authors;Mourning Dove;Okanogan Valley;,,Library Website,Apologies-and-Resilience-Through-Writing,blog posts,record,url,eng,,
Spring and Baseball Dreams,Rich Wandschneider,Rich Wandschneider Blog,Spring-and-Baseball-Dreams,https://library.josephy.org/2022/04/spring-and-baseball-dreams/,,library-header.jpg,Rich Wandschneider,,2022-04-01,"Blog entry from April 1, 2022",Baseball;Eastern Oregon University;Diversity;Native Sport;Levi McCormack;ww ii,,Library Website,Spring-and-Baseball-Dreams,blog posts,record,url,eng,,
Eleventh Grade in Ankara,Rich Wandschneider,Rich Wandschneider Blog,Eleventh-Grade-in-Ankara,https://library.josephy.org/2022/05/eleventh-grade-in-ankara/,,library-header.jpg,Rich Wandschneider,,2022-05-12,"Blog entry from May 12, 2022",Native American History;500+ Tribes;Homeland Project;,,Library Website,Eleventh-Grade-in-Ankara,blog posts,record,url,eng,,
Help From the Natives,Rich Wandschneider,Rich Wandschneider Blog,Help-From-the-Natives,https://library.josephy.org/2022/05/help-from-the-natives/,,library-header.jpg,Rich Wandschneider,,2022-05-18,"Blog entry from May 18, 2022",Inclusivity;White Replacement;Snake River Dams;Native Revitalization;,,Library Website,Help-From-the-Natives,blog posts,record,url,eng,,
Boarding Schools and Religion,Rich Wandschneider,Rich Wandschneider Blog,Boarding-Schools-and-Religion,https://library.josephy.org/2022/05/boarding-schools-and-religion/,,library-header.jpg,Rich Wandschneider,,2022-05-24,"Blog entry from May 24, 2022",Indian Boarding Schools;President Grant;Generational Grief;Sexual Abuse;Violence;,,Library Website,Boarding-Schools-and-Religion,blog posts,record,url,eng,,
Nez Perce Music - Three Years Later,Rich Wandschneider,Rich Wandschneider Blog,Nez-Perce-Music-Three-Years-Later,https://library.josephy.org/2022/05/nez-perce-music-three-years-later/,,library-header.jpg,Rich Wandschneider,,2022-05-26,"Blog entry from May 26, 2022",Indigenous Big Band;Julia Keefe;Delbert Anderson;,,Library Website,Nez-Perce-Music-Three-Years-Later,blog posts,record,url,eng,,
WASP - White Anglo Saxon Protestant - Men,Rich Wandschneider,Rich Wandschneider Blog,WASP-White-Anglo-Saxon-Protestant-Men,https://library.josephy.org/2022/05/wasp-white-anglo-saxon-protestant-men/,,library-header.jpg,Rich Wandschneider,,2022-05-27,"Blog entry from May 27, 2022",Female Hunters;Female Warriors;Women's Influence;Termination;Relocation;Originalists;Haudenosaunees;Great Law of Peace,,Library Website,WASP-White-Anglo-Saxon-Protestant-Men,blog posts,record,url,eng,,
"Steve Kerr, Rez Ball, and Hope in Sports",Rich Wandschneider,Rich Wandschneider Blog,Steve-Kerr-Rez-Ball-and-Hope-in-Sports,https://library.josephy.org/2022/05/steve-kerr-rez-ball-and-hope-in-sport/,,library-header.jpg,Rich Wandschneider,,2022-05-30,"Blog entry from May 30, 2022",Uvalde Shootings;Team Game;Gun Violence;Steve Kerr;Rez Ball;,,Library Website,Steve-Kerr-Rez-Ball-and-Hope-in-Sports,blog posts,record,url,eng,,
Hobos,Rich Wandschneider,Rich Wandschneider Blog,Hobos,https://library.josephy.org/2022/06/hobos/,,library-header.jpg,Rich Wandschneider,,2022-06-08,"Blog entry from June 8, 2022",Hobos;Great Depression;Homelessness;,,Library Website,Hobos,blog posts,record,url,eng,,
Deb Haaland and Mount Howard,Rich Wandschneider,Rich Wandschneider Blog,Deb-Haaland-and-Mount-Howard,https://library.josephy.org/2022/06/deb-haaland-and-mount-howard/,,library-header.jpg,Rich Wandschneider,,2022-06-14,"Blog entry from June 14, 2022",Name Changes;Department of Interior;Deb Haaland;General Howard,,Library Website,Deb-Haaland-and-Mount-Howard,blog posts,record,url,eng,,
Biden Gets It Right (with Help from Deb Haaland)!,Rich Wandschneider,Rich Wandschneider Blog,Biden-Gets-It-Right-with-Help-from-Deb-Haaland-,https://library.josephy.org/2022/06/biden-gets-it-right-with-help-from-deb-haaland/,,library-header.jpg,Rich Wandschneider,,2022-06-22,"Blog entry from June 22, 2022",Policy Reversals;Bears Ears;Management Agreement;,,Library Website,Biden-Gets-It-Right-with-Help-from-Deb-Haaland-,blog posts,record,url,eng,,
"Haaland, Pinkham, and Dworshak Dam",Rich Wandschneider,Rich Wandschneider Blog,Haaland-Pinkham-and-Dworshak-Dam,https://library.josephy.org/2022/06/haaland-pinkham-and-dworshak-dam/,,library-header.jpg,Rich Wandschneider,,2022-06-24,"Blog entry from June 24, 2022",Fish Hatchery;Natives in Government;Snake River Dams,,Library Website,Haaland-Pinkham-and-Dworshak-Dam,blog posts,record,url,eng,,
Deb Haaland is the Queenpin But There is Action in the Countryside,Rich Wandschneider,Rich Wandschneider Blog,Deb-Haaland-is-the-Queenpin-But-There-is-Action-in-the-Countryside,https://library.josephy.org/2022/06/deb-haaland-is-the-queenpin-but-there-is-action-in-the-countryside/,,library-header.jpg,Rich Wandschneider,,2022-06-30,"Blog entry from June 30, 2022",Deb Haaland;Land Back;Natives in Government;Speaking Up;Policy Making,,Library Website,Deb-Haaland-is-the-Queenpin-But-There-is-Action-in-the-Countryside,blog posts,record,url,eng,,
The Framers and Originalism,Rich Wandschneider,Rich Wandschneider Blog,The-Framers-and-Originalism,https://library.josephy.org/2022/07/the-framers-and-originalism/,,library-header.jpg,Rich Wandschneider,,2022-07-04,"Blog entry from July 4, 2022",Constitution;Gun Laws;Abortion;King George III;Cultural Revival;Racism,,Library Website,The-Framers-and-Originalism,blog posts,record,url,eng,,
Historical Errors and Omissions,Rich Wandschneider,Rich Wandschneider Blog,Historical-Errors-and-Omissions,https://library.josephy.org/2022/07/historical-errors-and-omissions/,,library-header.jpg,Rich Wandschneider,,2022-07-19,"Blog entry from July 19, 2022",Mexico;Underground Railroad;Slavery;Citizenship;,,Library Website,Historical-Errors-and-Omissions,blog posts,record,url,eng,,
A Celebration,Rich Wandschneider,Rich Wandschneider Blog,A-Celebration,https://library.josephy.org/2022/07/a-celebration/,,library-header.jpg,Rich Wandschneider,,2022-07-27,"Blog entry from July 27, 2022",Tamkaliks;Dances;Regalia;Drums;Colville Reservation;,,Library Website,A-Celebration,blog posts,record,url,eng,,
The Pope Apologizes,Rich Wandschneider,Rich Wandschneider Blog,The-Pope-Apologizes,https://library.josephy.org/2022/08/the-pope-apologizes/,,library-header.jpg,Rich Wandschneider,,2022-08-01,"Blog entry from August 1, 2022",Pope Francis;Doctrine of Discovery;American Churches;Apologies;Inter-faith Rivalries,,Library Website,The-Pope-Apologizes,blog posts,record,url,eng,,
A 500 Year-old Fiction,Rich Wandschneider,Rich Wandschneider Blog,A-500-Year-old-Fiction,https://library.josephy.org/2022/08/a-500-year-old-fiction/,,library-header.jpg,Rich Wandschneider,,2022-08-05,"Blog entry from August 5, 2022",Doctrine of Discovery;Pope Alexander VI;The Antarctic Treaty;Chief Justice John Marshall;Native Revival,,Library Website,A-500-Year-old-Fiction,blog posts,record,url,eng,,
It's In The - Native - Water,Rich Wandschneider,Rich Wandschneider Blog,It-s-In-The-Native-Water,https://library.josephy.org/2022/08/its-in-the-native-water/,,library-header.jpg,Rich Wandschneider,,2022-08-09,"Blog entry from August 9, 2022",Native Revival;Traditional Values; Education;Biden Appointees;Deb Haaland,,Library Website,It-s-In-The-Native-Water,blog posts,record,url,eng,,
"From ""Native News Online""",Rich Wandschneider,Rich Wandschneider Blog,From-Native-News-Online-,https://library.josephy.org/2022/08/from-native-news-online/,,library-header.jpg,Rich Wandschneider,,2022-08-12,"Blog entry from August 12, 2022",Deb Haaland;Brian Newland;Odawa Indians;,,Library Website,From-Native-News-Online-,blog posts,record,url,eng,,
Hollywood Apologizes,Rich Wandschneider,Rich Wandschneider Blog,Hollywood-Apologizes,https://library.josephy.org/2022/08/hollywood-apologizes/,,library-header.jpg,Rich Wandschneider,,2022-08-18,"Blog entry from August 18, 2022",Sacheen Littlefeather;Marlon Brando;1973 Oscars;Natives in Film;Fish Wars;Saving Salmon;Treaty Rights;Public apoligies,,Library Website,Hollywood-Apologizes,blog posts,record,url,eng,,
Nez Perce Teaching Boxes,Rich Wandschneider,Rich Wandschneider Blog,Nez-Perce-Teaching-Boxes,https://library.josephy.org/2022/08/nez-perce-teaching-boxes/,,library-header.jpg,Rich Wandschneider,,2022-08-25,"Blog entry from August 25, 2022",Nez Perce History;Changing Times;Wallowa County Teachers;,,Library Website,Nez-Perce-Teaching-Boxes,blog posts,record,url,eng,,
Good News and Bad News in Indian Country,Rich Wandschneider,Rich Wandschneider Blog,Good-News-and-Bad-News-in-Indian-Country,https://library.josephy.org/2022/09/good-news-and-bad-news-in-indian-country/,,library-header.jpg,Rich Wandschneider,,2022-09-02,"Blog entry from September 2, 2022",1491; 1918 influenza resiliency; Charles Mann; Chuck Sams; Deb Haaland; Mary Peltola; Nez Perce Tribe; umatilla reservation; Undaunted Courage,,Library Website,Good-News-and-Bad-News-in-Indian-Country,blog posts,record,url,eng,,
"Happy Labor Day, Women!",Rich Wandschneider,Rich Wandschneider Blog,Happy-Labor-Day-Women-,https://library.josephy.org/2022/09/happy-labor-day-women/,,library-header.jpg,Rich Wandschneider,,2022-09-06,"Blog entry from September 6, 2022",Afghanistan; Iraq; Jane Ferguson,,Library Website,Happy-Labor-Day-Women-,blog posts,record,url,eng,,
National Geographic Photo Camp,Rich Wandschneider,Rich Wandschneider Blog,National-Geographic-Photo-Camp,https://library.josephy.org/2022/09/national-geographic-photo-camp/,,library-header.jpg,Rich Wandschneider,,2022-09-12,Blog entry from 2022-09-12,National Geographic,,Library Website,National-Geographic-Photo-Camp,blog posts,record,url,eng,,
Wallowa Lake,Rich Wandschneider,Rich Wandschneider Blog,Wallowa-Lake,https://library.josephy.org/2022/09/wallowa-lake/,,library-header.jpg,Rich Wandschneider,,2022-09-16,Blog entry from 2022-09-16,Chief Joseph Cemetery; Wallowa Lake,,Library Website,Wallowa-Lake,blog posts,record,url,eng,,
Northern Paiutes of the Malheur,Rich Wandschneider,Rich Wandschneider Blog,Northern-Paiutes-of-the-Malheur,https://library.josephy.org/2022/09/northern-paiutes-of-the-malheur/,,library-header.jpg,Rich Wandschneider,,2022-09-18,Blog entry from 2022-09-18,Chief Egan; Malheur; Paiute; University of Nebraska Press,,Library Website,Northern-Paiutes-of-the-Malheur,blog posts,record,url,eng,,
Women of the World,Rich Wandschneider,Rich Wandschneider Blog,Women-of-the-World,https://library.josephy.org/2022/09/women-of-the-world/,,library-header.jpg,Rich Wandschneider,,2022-09-28,Blog entry from 2022-09-28,Deb Haaland; Iran; Turkey,,Library Website,Women-of-the-World,blog posts,record,url,eng,,
“Indigenous-Authored Publications”,Rich Wandschneider,Rich Wandschneider Blog,-Indigenous-Authored-Publications-,https://library.josephy.org/2022/10/indigenous-authored-publications/,,library-header.jpg,Rich Wandschneider,,2022-10-03,Blog entry from 2022-10-03,Robert E. Walls,,Library Website,-Indigenous-Authored-Publications-,blog posts,record,url,eng,,
Biden and Haaland and Indigenous Languages,Rich Wandschneider,Rich Wandschneider Blog,Biden-and-Haaland-and-Indigenous-Languages,https://library.josephy.org/2022/10/biden-and-haaland-and-indigenous-languages/,,library-header.jpg,Rich Wandschneider,,2022-10-05,Blog entry from 2022-10-05,Alvin Josephy; Deb Haaland; Indian Relocation; Indigenous cuisine; Joe Biden,,Library Website,Biden-and-Haaland-and-Indigenous-Languages,blog posts,record,url,eng,,
"Indigenous Peoples Day, General Howard and the Mountain",Rich Wandschneider,Rich Wandschneider Blog,Indigenous-Peoples-Day-General-Howard-and-the-Mountain,https://library.josephy.org/2022/10/indigenous-peoples-day-general-howard-and-the-mountain/,,library-header.jpg,Rich Wandschneider,,2022-10-14,Blog entry from 2022-10-14,Indigenous Peoples Day; Mt.Howard; Uncategorized,,Library Website,Indigenous-Peoples-Day-General-Howard-and-the-Mountain,blog posts,record,url,eng,,
The Josephy Center—Tenth Anniversary,Rich Wandschneider,Rich Wandschneider Blog,The-Josephy-Center-Tenth-Anniversary,https://library.josephy.org/2022/10/the-josephy-center-tenth-anniversary/,,library-header.jpg,Rich Wandschneider,,2022-10-22,Blog entry from 2022-10-22,Allen Pinkham; Alvin Josephy; American Indian history; Josephy Library,,Library Website,The-Josephy-Center-Tenth-Anniversary,blog posts,record,url,eng,,
Fear–and Reconciliation,Rich Wandschneider,Rich Wandschneider Blog,Fear-and-Reconciliation,https://library.josephy.org/2022/10/fear-and-reconciliation/,,library-header.jpg,Rich Wandschneider,,2022-10-27,Blog entry from 2022-10-27,David Treuer; Nez Perce Wallowa Homeland; Oregon history; Oregonian; walwa’ma,,Library Website,Fear-and-Reconciliation,blog posts,record,url,eng,,
Ken Burns is Jefferson’s Historian,Rich Wandschneider,Rich Wandschneider Blog,Ken-Burns-is-Jefferson-s-Historian,https://library.josephy.org/2022/10/ken-burns-is-jeffersons-historian/,,library-header.jpg,Rich Wandschneider,,2022-10-31,Blog entry from 2022-10-31,baseball; Lewis and Clark; Marcus Whitman; Nex Perce history; Nez Perce; Oregon Trail,,Library Website,Ken-Burns-is-Jefferson-s-Historian,blog posts,record,url,eng,,
The Women of Iran,Rich Wandschneider,Rich Wandschneider Blog,The-Women-of-Iran,https://library.josephy.org/2022/11/the-women-of-iran/,,library-header.jpg,Rich Wandschneider,,2022-11-01,Blog entry from 2022-11-01,Ayatollah; hijab; the actions of their oppressors boldly describe,,Library Website,The-Women-of-Iran,blog posts,record,url,eng,,
Who is Elouise Cobell?,Rich Wandschneider,Rich Wandschneider Blog,Who-is-Elouise-Cobell-,https://library.josephy.org/2022/11/who-is-elouise-cobell/,,library-header.jpg,Rich Wandschneider,,2022-11-02,Blog entry from 2022-11-02,Blackfeet; bureau of Indian Affairs; Deb Haaland; Department of Interior; Elouise Cobell,,Library Website,Who-is-Elouise-Cobell-,blog posts,record,url,eng,,
"Ken Burns, Jack McClaran, The U.S., and the Holocaust",Rich Wandschneider,Rich Wandschneider Blog,Ken-Burns-Jack-McClaran-The-U-S-and-the-Holocaust,https://library.josephy.org/2022/11/ken-burns-jack-mcclaran-the-u-s-and-the-holocaust/,,library-header.jpg,Rich Wandschneider,,2022-11-05,Blog entry from 2022-11-05,Buchenwald; Holocaust; Jack McClaran; World War II,,Library Website,Ken-Burns-Jack-McClaran-The-U-S-and-the-Holocaust,blog posts,record,url,eng,,
,,,,,,,,,,,,,,,,,,,,
Indians’ turn,Rich Wandschneider,Rich Wandschneider Blog,Indians-turn,https://library.josephy.org/2022/11/indians-turn/,,library-header.jpg,Rich Wandschneider,,2022-11-08,Blog entry from 2022-11-08,boarding schools; Chuck Sams; Deb Haaland; Mary Peltola,,Library Website,Indians-turn,blog posts,record,url,eng,,
New old news on treaties,Rich Wandschneider,Rich Wandschneider Blog,New-old-news-on-treaties,https://library.josephy.org/2022/11/new-old-news-on-treaties/,,library-header.jpg,Rich Wandschneider,,2022-11-25,Blog entry from 2022-11-25,1855 treaty; 1863 treaty; Alice Flether; Allen Pinkham; smallpox; smallpox epidemic of 1780s; Snake River,,Library Website,New-old-news-on-treaties,blog posts,record,url,eng,,
Spectacular!,Rich Wandschneider,Rich Wandschneider Blog,Spectacular-,https://library.josephy.org/2022/12/spectacular/,,library-header.jpg,Rich Wandschneider,,2022-12-03,Blog entry from 2022-12-03,Celilo Falls; Columbia River; Wallowas,,Library Website,Spectacular-,blog posts,record,url,eng,,
Native Revival,Rich Wandschneider,Rich Wandschneider Blog,Native-Revival,https://library.josephy.org/2022/12/native-revival/,,library-header.jpg,Rich Wandschneider,,2022-12-04,Blog entry from 2022-12-04,Native revival; Yurok,,Library Website,Native-Revival,blog posts,record,url,eng,,
Women of Iran 2,Rich Wandschneider,Rich Wandschneider Blog,Women-of-Iran-2,https://library.josephy.org/2022/12/women-of-iran-2/,,library-header.jpg,Rich Wandschneider,,2022-12-09,Blog entry from 2022-12-09,Iran; Shah Riza Pahlavi was embarked on a mission to celebrate himself as the heir to the “Peacock Throne; women’s rights,,Library Website,Women-of-Iran-2,blog posts,record,url,eng,,
December 2022,Rich Wandschneider,Rich Wandschneider Blog,#VALUE!,https://library.josephy.org/2022/12/december-2022/,,library-header.jpg,Rich Wandschneider,,2022-12-26,Blog entry from 2022-12-26,Minam; Nespelem; Nez Perce; Nez Perce Homeland; Nez Perce National Park; Uncategorized,,Library Website,#VALUE!,blog posts,record,url,eng,,
Native Languages,Rich Wandschneider,Rich Wandschneider Blog,Native-Languages,https://library.josephy.org/2023/01/native-languages/,,library-header.jpg,Rich Wandschneider,,2023-01-10,Blog entry from 2023-01-10,Joe Biden; Native American languages; Native revival,,Library Website,Native-Languages,blog posts,record,url,eng,,
Martin Luther King Day and Indigenous America,Rich Wandschneider,Rich Wandschneider Blog,Martin-Luther-King-Day-and-Indigenous-America,https://library.josephy.org/2023/01/martin-luther-king-day-and-indigenous-america/,,library-header.jpg,Rich Wandschneider,,2023-01-15,Blog entry from 2023-01-15,Hamalainen; Jamelle Bouie; martin luther king; Nespelem; Nez Perce,,Library Website,Martin-Luther-King-Day-and-Indigenous-America,blog posts,record,url,eng,,
EOU and “Native Sport” exhibit,Rich Wandschneider,Rich Wandschneider Blog,EOU-and-Native-Sport-exhibit,https://library.josephy.org/2023/01/eou-and-native-sport-exhibit/,,library-header.jpg,Rich Wandschneider,,2023-01-23,Blog entry from 2023-01-23,Uncategorized,,Library Website,EOU-and-Native-Sport-exhibit,blog posts,record,url,eng,,
1871 in Northeast Oregon,Rich Wandschneider,Rich Wandschneider Blog,1871-in-Northeast-Oregon,https://library.josephy.org/2023/02/1871-in-northeast-oregon/,,library-header.jpg,Rich Wandschneider,,2023-02-03,Blog entry from 2023-02-03,Cayuse; Chief Joseph; Meacham; Nez Perce,,Library Website,1871-in-Northeast-Oregon,blog posts,record,url,eng,,
Earthquakes and Refugees,Rich Wandschneider,Rich Wandschneider Blog,Earthquakes-and-Refugees,https://library.josephy.org/2023/02/earthquakes-and-refugees/,,library-header.jpg,Rich Wandschneider,,2023-02-08,Blog entry from 2023-02-08,Diyarbakir; Turkey,,Library Website,Earthquakes-and-Refugees,blog posts,record,url,eng,,
The Game,Rich Wandschneider,Rich Wandschneider Blog,The-Game,https://library.josephy.org/2023/02/the-game/,,library-header.jpg,Rich Wandschneider,,2023-02-12,Blog entry from 2023-02-12,plateau tribes; rez ball,,Library Website,The-Game,blog posts,record,url,eng,,
